Property,LCDRG,Schema.org,MODS,LIDO,CCO,ISBD,MusicBrainz Terminology
Location,Location Facility,location,</mods:physicalLocation>,<repositoryWrap> / <repositorySet> / <repositoryLocation>,,,
Creation/Publication Location,Creating Organization,locationCreated,</mods:place>,<eventWrap> / <eventSet> / <event> / <eventPlace> / <place>,,,
Collection/Part Of,Collection Identifier,isPartOf,</mods:relatedItem>,<recordWrap> / <collection>,,,
Depicted Location,,contentLocation,</mods:geographic>,<subjectWrap> / <subjectSet> / <subject> / <subjectPlace>,,,
